iter	Passed	Remaining
0	9	9596
1	20	10301
2	31	10478
3	42	10611
4	52	10532
5	64	10611
6	74	10623
7	85	10585
8	96	10621
9	107	10631
10	118	10653
11	129	10671
12	139	10617
13	151	10637
14	161	10630
15	173	10641
16	183	10634
17	194	10625
18	206	10647
19	217	10663
20	227	10597
21	237	10572
22	248	10541
23	259	10551
24	270	10551
25	281	10556
26	292	10528
27	302	10497
28	313	10499
29	324	10501
30	335	10497
31	346	10495
32	357	10485
33	368	10474
34	379	10464
35	390	10444
36	401	10448
37	412	10441
38	423	10436
39	434	10419
40	445	10415
41	456	10413
42	467	10410
43	478	10403
44	490	10400
45	501	10395
46	512	10382
47	522	10372
48	534	10365
49	545	10358
50	556	10350
51	566	10327
52	577	10320
53	588	10314
54	599	10307
55	611	10303
56	621	10285
57	632	10269
58	643	10260
59	654	10248
60	665	10248
61	677	10243
62	687	10227
63	698	10219
64	709	10202
65	720	10196
66	731	10186
67	742	10176
68	753	10164
69	764	10159
70	776	10160
71	787	10147
72	798	10140
73	809	10131
74	820	10120
75	831	10114
76	843	10110
77	854	10098
78	865	10088
79	876	10077
80	887	10073
81	899	10069
82	910	10060
83	921	10050
84	932	10040
85	943	10031
86	954	10018
87	965	10006
88	976	9992
89	987	9983
90	998	9972
91	1009	9963
92	1021	9958
93	1032	9948
94	1043	9944
95	1054	9933
96	1066	9925
97	1077	9917
98	1088	9907
99	1099	9894
100	1110	9883
101	1121	9873
102	1132	9862
103	1143	9851
104	1154	9837
105	1165	9826
106	1176	9814
107	1187	9804
108	1198	9795
109	1209	9784
110	1220	9775
111	1231	9767
112	1243	9757
113	1254	9746
114	1265	9739
115	1276	9727
116	1287	9715
117	1298	9702
118	1308	9689
119	1320	9682
120	1331	9673
121	1342	9662
122	1353	9647
123	1364	9637
124	1376	9632
125	1387	9624
126	1398	9614
127	1410	9605
128	1420	9594
129	1431	9582
130	1442	9570
131	1454	9562
132	1465	9553
133	1476	9543
134	1487	9531
135	1498	9520
136	1509	9506
137	1520	9496
138	1531	9484
139	1542	9472
140	1552	9460
141	1563	9447
142	1574	9433
143	1584	9421
144	1595	9410
145	1607	9401
146	1618	9391
147	1629	9379
148	1640	9367
149	1651	9356
150	1662	9346
151	1673	9335
152	1685	9328
153	1696	9319
154	1707	9308
155	1718	9297
156	1729	9287
157	1740	9275
158	1751	9263
159	1762	9251
160	1773	9240
161	1784	9230
162	1795	9217
163	1805	9205
164	1816	9192
165	1827	9181
166	1838	9169
167	1849	9158
168	1860	9147
169	1871	9135
170	1882	9124
171	1893	9113
172	1904	9101
173	1915	9092
174	1926	9080
175	1937	9070
176	1948	9058
177	1959	9048
178	1970	9037
179	1981	9025
180	1992	9013
181	2003	9005
182	2015	8996
183	2026	8985
184	2037	8974
185	2048	8962
186	2058	8950
187	2069	8937
188	2080	8926
189	2090	8914
190	2102	8904
191	2113	8893
192	2124	8882
193	2135	8871
194	2146	8861
195	2157	8849
196	2168	8837
197	2179	8826
198	2189	8814
199	2200	8802
200	2211	8792
201	2223	8782
202	2233	8769
203	2244	8759
204	2255	8747
205	2267	8739
206	2278	8728
207	2288	8715
208	2299	8703
209	2310	8690
210	2321	8680
211	2331	8666
212	2343	8657
213	2354	8646
214	2364	8634
215	2376	8625
216	2387	8615
217	2398	8604
218	2409	8592
219	2420	8580
220	2430	8568
221	2441	8557
222	2452	8546
223	2463	8534
224	2474	8523
