iter	Passed	Remaining
0	18	18037
1	36	18138
2	55	18412
3	72	18052
4	89	17894
5	108	17972
6	125	17856
7	143	17854
8	161	17775
9	182	18049
10	197	17742
11	216	17819
12	235	17917
13	253	17821
14	269	17719
15	288	17717
16	303	17529
17	319	17429
18	337	17424
19	353	17335
20	371	17319
21	387	17236
22	404	17183
23	421	17124
24	435	16970
25	451	16908
26	470	16942
27	483	16792
28	501	16792
29	513	16612
30	528	16512
31	542	16405
32	560	16412
33	573	16292
34	589	16262
35	605	16215
36	618	16095
37	635	16080
38	650	16026
39	663	15924
40	677	15843
41	689	15724
42	703	15656
43	719	15628
44	731	15522
45	745	15461
46	764	15499
47	778	15438
48	793	15404
49	808	15366
50	824	15349
51	838	15289
52	852	15224
53	870	15242
54	882	15168
55	898	15145
56	912	15089
57	924	15009
58	936	14936
59	952	14919
60	965	14868
61	978	14798
62	995	14803
63	1008	14754
64	1024	14735
65	1038	14702
66	1054	14678
67	1068	14641
68	1082	14599
69	1096	14571
70	1109	14518
71	1124	14499
72	1138	14454
73	1153	14435
74	1166	14390
75	1184	14405
76	1197	14349
77	1211	14317
78	1226	14302
79	1243	14297
80	1255	14243
81	1270	14225
82	1290	14257
83	1303	14218
84	1319	14200
85	1333	14168
86	1349	14158
87	1365	14152
88	1379	14117
89	1395	14107
90	1409	14075
91	1423	14052
92	1440	14044
93	1453	14007
94	1467	13980
95	1482	13959
96	1496	13928
97	1509	13890
98	1525	13884
99	1542	13878
100	1556	13854
101	1572	13843
102	1585	13805
103	1599	13783
104	1612	13741
105	1626	13721
106	1644	13726
107	1657	13688
108	1669	13643
109	1687	13649
110	1700	13622
111	1713	13583
112	1729	13572
113	1742	13540
114	1756	13514
115	1769	13483
116	1782	13452
117	1797	13436
118	1810	13404
119	1824	13379
120	1839	13359
121	1852	13333
122	1868	13325
123	1883	13308
124	1897	13282
125	1910	13253
126	1922	13218
127	1937	13201
128	1952	13182
129	1967	13170
130	1981	13143
131	1997	13135
132	2013	13124
133	2025	13091
134	2039	13065
135	2052	13036
136	2066	13016
137	2079	12986
138	2094	12976
139	2109	12960
140	2123	12934
141	2138	12923
142	2155	12916
143	2168	12892
144	2183	12878
145	2199	12866
146	2214	12851
147	2226	12817
148	2240	12795
149	2255	12781
150	2269	12761
151	2289	12772
152	2306	12766
153	2319	12739
154	2330	12704
155	2346	12692
156	2359	12667
157	2373	12650
158	2388	12633
159	2401	12605
160	2419	12610
161	2434	12594
162	2448	12575
163	2464	12563
164	2482	12563
165	2496	12540
166	2512	12530
167	2527	12515
168	2541	12498
169	2559	12496
170	2573	12477
171	2586	12450
172	2601	12434
173	2619	12434
174	2633	12413
175	2647	12397
176	2663	12384
177	2677	12363
178	2692	12349
179	2705	12323
180	2718	12300
181	2731	12278
182	2745	12255
183	2756	12226
184	2769	12202
185	2785	12189
186	2798	12167
187	2811	12141
188	2823	12114
189	2838	12100
190	2853	12087
191	2868	12072
192	2880	12045
193	2896	12033
194	2907	12004
